Nazwa;id;Rok;Zasiêg ubóstwa (%);PKB per capita;Wyn brutto;Bezr rej;Obci¹¿ demo;Wsk urb;Lud miejska;Mieszkania na 1000 mieszkañców;Nak³ady inwestycyjne sek pry;Wy¿ wyk;Wsp fem;Wsk zat kob;Inflacja;Infl (¿yw);Infl (miesz);Eme i ren brutto;Eme i rent brutto rel do przec wyn brutto;Wyd pomspol
£ÓDZKIE;5;2021;14,5 ;68569;5622,29;6,1;73,6;61,9;1482200;437,9;62,6;26,6;110;48,7;5,5;2,9;7,6;2394,12;0,47;26355290,84
£ÓDZKIE;5;2022;14,1 ;77383;6210,68;5,5;74,6;61,8;1468809;445,9;61,5;26,7;110;50,1;16,1;16,1;25,4;2616,88;0,46;19034473,28
£ÓDZKIE;5;2023;13,2 ;86151;7052,93;5,4;75,5;61,8;1459655;453,4;58,2;29,5;110;48,9;10,7;15;11,7;3070,81;0,48;16702424,22
£ÓDZKIE;5;2024;17,8 ;92091;8096,32;5,4;76;61,9;1452889;461,1;64;30,4;110;48,7;3;2,8;3,1;3 511,45;0,48;12772638,91
MA£OPOLSKIE;6;2019;16,0 ;55604;5098,26;4,1;65,1;48,2;1644172;357,9;62,9;29,8;106;41,1;2,9;4,7;2,1;2224,97;0,48;18061810,74
MA£OPOLSKIE;6;2020;13,7 ;57503;5536,07;5,3;65,9;48,1;1649749;374,1;62,1;30;106;42,2;4,3;5,2;7,5;2351,94;0,47;18899529,58
MA£OPOLSKIE;6;2021;14,9 ;65625;6046,95;5;66,7;47,9;1644733;378,8;60,4;31,5;106;44;5,9;3,8;8,3;2509,36;0,46;21984465,49
MA£OPOLSKIE;6;2022;13,6 ;72946;6824,68;4,4;67,6;47,8;1640055;385,2;62,6;31,4;106;44,3;14,9;16,2;19,8;2736,32;0,44;41082614,56
MA£OPOLSKIE;6;2023;13,5 ;80976;7736,56;4,2;68,3;47,9;1641971;390,7;56,7;35,4;106;45,9;11,8;14,4;15,2;3206,4;0,46;31393755,6
MA£OPOLSKIE;6;2024;15,8 ;87269;8818,71;4,1;68,9;47,8;1639583;396,2;60,2;36,5;106;46,8;4,2;3,4;7;3 662,18;0,46;20717346,4
MAZOWIECKIE;7;2019;15,2 ;98051;6248,47;4,4;69,6;64,5;3495722;432,3;72,2;38,7;109;48,2;2,2;5,1;1,3;2349,78;0,41;53094047,59
